any;mes;motiu;quantitat;tipo
2021;1;OMISIO;19;alta
2021;1;NEIXEMENT;71;alta
2021;1;CANVI RESIDENCIA;537;alta
2021;2;OMISIO;45;alta
2021;2;NEIXEMENT;69;alta
2021;2;CANVI RESIDENCIA;577;alta
2021;3;OMISIO;26;alta
2021;3;NEIXEMENT;83;alta
2021;3;CANVI RESIDENCIA;663;alta
2021;4;OMISIO;23;alta
2021;4;NEIXEMENT;88;alta
2021;4;CANVI RESIDENCIA;597;alta
2021;5;OMISIO;29;alta
2021;5;NEIXEMENT;82;alta
2021;5;CANVI RESIDENCIA;572;alta
2021;6;OMISIO;39;alta
2021;6;NEIXEMENT;82;alta
2021;6;CANVI RESIDENCIA;566;alta
2021;7;OMISIO;40;alta
2021;7;NEIXEMENT;82;alta
2021;7;CANVI RESIDENCIA;685;alta
2021;8;OMISIO;37;alta
2021;8;NEIXEMENT;76;alta
2021;8;CANVI RESIDENCIA;633;alta
2021;9;OMISIO;61;alta
2021;9;NEIXEMENT;67;alta
2021;9;CANVI RESIDENCIA;794;alta
2021;10;OMISIO;58;alta
2021;10;NEIXEMENT;57;alta
2021;10;CANVI RESIDENCIA;846;alta
2021;11;OMISIO;57;alta
2021;11;NEIXEMENT;21;alta
2021;11;CANVI RESIDENCIA;701;alta
2020;1;OMISIO;18;alta
2020;1;NEIXEMENT;104;alta
2020;1;CANVI RESIDENCIA;694;alta
2020;2;OMISIO;32;alta
2020;2;NEIXEMENT;81;alta
2020;2;CANVI RESIDENCIA;737;alta
2020;3;OMISIO;24;alta
2020;3;NEIXEMENT;78;alta
2020;3;CANVI RESIDENCIA;415;alta
2020;4;NEIXEMENT;80;alta
2020;4;CANVI RESIDENCIA;47;alta
2020;5;OMISIO;6;alta
2020;5;NEIXEMENT;78;alta
2020;5;CANVI RESIDENCIA;252;alta
2020;6;OMISIO;12;alta
2020;6;NEIXEMENT;74;alta
2020;6;CANVI RESIDENCIA;511;alta
2020;7;OMISIO;19;alta
2020;7;NEIXEMENT;98;alta
2020;7;CANVI RESIDENCIA;641;alta
2020;8;OMISIO;9;alta
2020;8;NEIXEMENT;91;alta
2020;8;CANVI RESIDENCIA;457;alta
2020;9;OMISIO;17;alta
2020;9;NEIXEMENT;72;alta
2020;9;CANVI RESIDENCIA;629;alta
2020;10;OMISIO;19;alta
2020;10;NEIXEMENT;84;alta
2020;10;CANVI RESIDENCIA;742;alta
2020;11;OMISIO;9;alta
2020;11;NEIXEMENT;96;alta
2020;11;CANVI RESIDENCIA;631;alta
2020;12;OMISIO;24;alta
2020;12;NEIXEMENT;75;alta
2020;12;CANVI RESIDENCIA;498;alta
2019;1;OMISIO;25;alta
2019;1;NEIXEMENT;97;alta
2019;1;CANVI RESIDENCIA;801;alta
2019;2;OMISIO;22;alta
2019;2;NEIXEMENT;86;alta
2019;2;CANVI RESIDENCIA;746;alta
2019;3;OMISIO;23;alta
2019;3;NEIXEMENT;79;alta
2019;3;CANVI RESIDENCIA;904;alta
2019;4;OMISIO;25;alta
2019;4;NEIXEMENT;74;alta
2019;4;CANVI RESIDENCIA;726;alta
2019;5;OMISIO;23;alta
2019;5;NEIXEMENT;101;alta
2019;5;CANVI RESIDENCIA;812;alta
2019;6;OMISIO;21;alta
2019;6;NEIXEMENT;89;alta
2019;6;CANVI RESIDENCIA;769;alta
2019;7;OMISIO;12;alta
2019;7;NEIXEMENT;111;alta
2019;7;CANVI RESIDENCIA;746;alta
2019;8;OMISIO;9;alta
2019;8;NEIXEMENT;98;alta
2019;8;CANVI RESIDENCIA;654;alta
2019;9;OMISIO;10;alta
