comunitatsAut;provincia;municipi;tipus;periode;total;codi_postal;poblacio;any;mes
09 Cataluña;Tarragona;;Viviendas turísticas;2024M11;11.773;;;2024;11
09 Cataluña;Tarragona;;Viviendas turísticas;2024M08;13.801;;;2024;08
09 Cataluña;Tarragona;;Viviendas turísticas;2024M02;12.282;;;2024;02
09 Cataluña;Tarragona;;Viviendas turísticas;2023M08;12.898;;;2023;08
09 Cataluña;Tarragona;;Viviendas turísticas;2023M02;10.354;;;2023;02
09 Cataluña;Tarragona;;Viviendas turísticas;2022M08;11.592;;;2022;08
09 Cataluña;Tarragona;;Viviendas turísticas;2022M02;10.121;;;2022;02
09 Cataluña;Tarragona;;Viviendas turísticas;2021M08;11.700;;;2021;08
09 Cataluña;Tarragona;;Viviendas turísticas;2021M02;10.504;;;2021;02
09 Cataluña;Tarragona;;Viviendas turísticas;2020M08;12.688;;;2020;08
09 Cataluña;Tarragona;;Plazas;2024M11;68.314;;;2024;11
09 Cataluña;Tarragona;;Plazas;2024M08;79.629;;;2024;08
09 Cataluña;Tarragona;;Plazas;2024M02;70.552;;;2024;02
09 Cataluña;Tarragona;;Plazas;2023M08;74.532;;;2023;08
09 Cataluña;Tarragona;;Plazas;2023M02;60.433;;;2023;02
09 Cataluña;Tarragona;;Plazas;2022M08;67.835;;;2022;08
09 Cataluña;Tarragona;;Plazas;2022M02;60.032;;;2022;02
09 Cataluña;Tarragona;;Plazas;2021M08;69.373;;;2021;08
09 Cataluña;Tarragona;;Plazas;2021M02;62.449;;;2021;02
09 Cataluña;Tarragona;;Plazas;2020M08;75.427;;;2020;08
09 Cataluña;Tarragona;;Plazas por vivienda turística;2024M11;5,8;;;2024;11
09 Cataluña;Tarragona;;Plazas por vivienda turística;2024M08;5,77;;;2024;08
09 Cataluña;Tarragona;;Plazas por vivienda turística;2024M02;5,74;;;2024;02
09 Cataluña;Tarragona;;Plazas por vivienda turística;2023M08;5,78;;;2023;08
09 Cataluña;Tarragona;;Plazas por vivienda turística;2023M02;5,84;;;2023;02
09 Cataluña;Tarragona;;Plazas por vivienda turística;2022M08;5,85;;;2022;08
09 Cataluña;Tarragona;;Plazas por vivienda turística;2022M02;5,93;;;2022;02
09 Cataluña;Tarragona;;Plazas por vivienda turística;2021M08;5,93;;;2021;08
09 Cataluña;Tarragona;;Plazas por vivienda turística;2021M02;5,95;;;2021;02
09 Cataluña;Tarragona;;Plazas por vivienda turística;2020M08;5,94;;;2020;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2024M11;9;43001;Aiguamúrcia;2024;11
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2024M08;8;43001;Aiguamúrcia;2024;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2024M02;5;43001;Aiguamúrcia;2024;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2023M08;4;43001;Aiguamúrcia;2023;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2023M02;6;43001;Aiguamúrcia;2023;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2022M08;8;43001;Aiguamúrcia;2022;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2022M02;10;43001;Aiguamúrcia;2022;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2021M08;9;43001;Aiguamúrcia;2021;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2021M02;9;43001;Aiguamúrcia;2021;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Viviendas turísticas;2020M08;8;43001;Aiguamúrcia;2020;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2024M11;52;43001;Aiguamúrcia;2024;11
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2024M08;50;43001;Aiguamúrcia;2024;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2024M02;36;43001;Aiguamúrcia;2024;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2023M08;32;43001;Aiguamúrcia;2023;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2023M02;49;43001;Aiguamúrcia;2023;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2022M08;66;43001;Aiguamúrcia;2022;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2022M02;83;43001;Aiguamúrcia;2022;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2021M08;63;43001;Aiguamúrcia;2021;08
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2021M02;68;43001;Aiguamúrcia;2021;02
09 Cataluña;Tarragona;43001 Aiguamúrcia;Plazas;2020M08;61;43001;Aiguamúrcia;2020;08
