ambitTerritorial;nomTerritori;any;periode;habitatges;renda;tramPreus
Municipi;Altafulla;2024;abril-juny;34;791.6;> 600 euros/mes
Municipi;Amer;2024;abril-juny;8;698.12;> 600 euros/mes
Municipi;Ametlla de Mar;2024;abril-juny;16;513.44;> 450 i <= 600 euros/mes
Municipi;Ametlla del Vallès;2024;abril-juny;18;1125.0;> 600 euros/mes
Municipi;Ampolla;2024;abril-juny;24;546.27;> 450 i <= 600 euros/mes
Municipi;Amposta;2024;abril-juny;77;380.55;> 350 i <= 450 euros/mes
Municipi;Anglès;2024;abril-juny;17;616.86;> 600 euros/mes
Municipi;Arboç;2024;abril-juny;28;525.78;> 450 i <= 600 euros/mes
Municipi;Arbúcies;2024;abril-juny;45;523.21;> 450 i <= 600 euros/mes
Municipi;Arenys de Mar;2024;abril-juny;83;776.42;> 600 euros/mes
Municipi;Arenys de Munt;2024;abril-juny;32;751.68;> 600 euros/mes
Municipi;Argentona;2024;abril-juny;32;845.81;> 600 euros/mes
Municipi;Artés;2024;abril-juny;32;489.44;> 450 i <= 600 euros/mes
Municipi;Artesa de Segre;2024;abril-juny;14;369.29;> 350 i <= 450 euros/mes
Municipi;Avià;2024;abril-juny;10;532.5;> 450 i <= 600 euros/mes
Municipi;Avinyó;2024;abril-juny;7;589.29;> 450 i <= 600 euros/mes
Municipi;Badalona;2024;abril-juny;711;896.07;> 600 euros/mes
Municipi;Badia del Vallès;2024;abril-juny;6;420.96;> 350 i <= 450 euros/mes
Municipi;Bagà;2024;abril-juny;10;467.5;> 450 i <= 600 euros/mes
Municipi;Balaguer;2024;abril-juny;71;409.62;> 350 i <= 450 euros/mes
Municipi;Balenyà;2024;abril-juny;16;504.27;> 450 i <= 600 euros/mes
Municipi;Balsareny;2024;abril-juny;8;541.25;> 450 i <= 600 euros/mes
Municipi;Banyeres del Penedès;2024;abril-juny;9;652.78;> 600 euros/mes
Municipi;Banyoles;2024;abril-juny;84;663.6;> 600 euros/mes
Municipi;Barberà del Vallès;2024;abril-juny;93;795.3;> 600 euros/mes
Municipi;Barcelona;2024;abril-juny;7939;1131.75;> 600 euros/mes
Municipi;Begues;2024;abril-juny;24;1167.92;> 600 euros/mes
Municipi;Begur;2024;abril-juny;9;747.22;> 600 euros/mes
Municipi;Bellpuig;2024;abril-juny;18;410.46;> 350 i <= 450 euros/mes
Municipi;Bellver de Cerdanya;2024;abril-juny;13;679.96;> 600 euros/mes
Municipi;Berga;2024;abril-juny;70;476.63;> 450 i <= 600 euros/mes
